Área Carrera Genérica,Área,tipos_institucion,n_tipos_institucion,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Empleabilidad 1er año,Empleabilidad 2° año,Duración Formal,Duración Real,Retención 1er año,Retención 2° año,Titulados Mujeres,Titulados Hombres,Titulados Total,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,arancel_valor,titulacion_valor,puntaje_corte_paes,vacantes_total,vacantes_presencial,matricula_1er_total,matricula_1er_presencial,pct_matricula_distancia,prop_programas_acreditados,n_programas,n_instituciones,carrera_tipo,ingreso_4to_anio_valor,brecha_duracion,costo_total_carrera,anios_recuperar_inversion
Pedagogía en Educación de Párvulos,Educación,Universidades,1,868042.4900000001,950848.3099999999,1007648.29,1058550.05,1123066.53,570256.07,662408.56,805574.97,990352.1500000001,1197087.31,692339.18,881545.78,1123662.3,1322128.73,1468144.56,0.6,0.69,0.77,0.69,0.66,0.68,0.7599999999999999,0.82,0.82,0.75,0.71,0.8,8.9,10.22,0.89,0.8300000000000001,1432.0,2.0,1434.0,2005.0,9.0,2014.0,12058.0,43.0,12101.0,4038711.126405048,161209.22194833367,561.749507183428,3748,3248,1896,1896,0.1265036481956222,1.0,64,36,Pedagogía en Educación de Párvulos,1058550.05,1.3200000000000003,18133473.7344508,1.4
Pedagogía en Filosofía y Religión,Educación,Universidades,1,1566876.23,1657753.5599999998,1227387.06,1256068.94,1238267.62,594467.36,830099.23,1185091.96,1556867.28,1874263.4199999997,994326.77,1073506.55,1217394.92,1449777.3099999998,1608754.55,0.81,0.7,0.8400000000000001,0.73,0.77,0.85,0.9099999999999999,0.89,0.83,0.77,0.7900000000000001,0.83,9.89,13.229999999999999,0.75,0.69,48.0,49.0,97.0,58.0,57.0,115.0,224.0,312.0,536.0,4282969.760095011,235623.99049881235,,167,167,91,91,0.0,1.0,11,9,Pedagogía en Filosofía y Religión,1256068.94,3.339999999999998,21414909.454168644,1.4
"Pedagogía en Historia, Geografía y Ciencias Sociales",Educación,Universidades,1,920022.68,1030889.66,1076437.19,1129321.06,1192397.88,603408.74,741471.26,918187.82,1104919.08,1265211.04,697023.38,941585.87,1200491.85,1402763.39,1607508.07,0.57,0.57,0.75,0.74,0.72,0.72,0.72,0.83,0.81,0.82,0.74,0.82,9.84,11.77,0.85,0.77,244.0,288.0,532.0,300.0,372.0,672.0,1322.0,1722.0,3044.0,4155398.5303370785,226492.14831460675,629.0112999071496,758,758,652,652,0.0,1.0,20,20,"Pedagogía en Historia, Geografía y Ciencias Sociales",1129321.06,1.9299999999999997,20671052.91757303,1.5
Pedagogía en Idiomas,Educación,Universidades,1,882696.35,997130.1,1046305.31,1074271.39,1122627.29,571797.25,676051.65,854965.49,1040562.5,1236244.52,652885.87,844849.98,1105102.04,1327488.81,1563402.39,0.55,0.54,0.67,0.64,0.58,0.7,0.69,0.76,0.76,0.72,0.63,0.75,9.74,11.63,0.84,0.75,686.0,303.0,989.0,1218.0,590.0,1808.0,5340.0,2750.0,8091.0,4342931.574013646,181758.66730940374,625.7100742084432,1852,1852,1779,1779,0.0,1.0,40,27,Pedagogía en Idiomas,1074271.39,1.8900000000000006,21331835.432755858,1.7
"Pedagogía en Lenguaje, Comunicación y/o Castellano",Educación,Universidades,1,982285.34,1112044.69,1159678.22,1200218.04,1253572.23,642521.29,831104.87,986726.47,1155648.63,1293314.74,806922.9,1052811.67,1255271.44,1418513.88,1574729.57,0.76,0.79,0.87,0.84,0.79,0.87,0.89,0.88,0.86,0.87,0.83,0.87,9.78,11.33,0.87,0.78,533.0,216.0,749.0,734.0,351.0,1085.0,3011.0,1415.0,4427.0,4135191.715166461,200972.38372379777,618.4518110661269,1020,1020,1046,1046,0.0,1.0,26,24,"Pedagogía en Lenguaje, Comunicación y/o Castellano",1200218.04,1.5500000000000007,20422059.870887794,1.4
Pedagogía en Matemáticas y Computación,Educación,Universidades,1,1098075.85,1207960.26,1264004.35,1296180.17,1331942.03,765089.25,929156.44,1077436.9,1270921.22,1477121.32,950538.12,1152449.66,1331950.03,1502193.22,1772475.96,0.87,0.94,0.92,0.92,0.9000000000000001,0.93,0.93,0.96,0.95,0.94,0.9099999999999999,0.95,9.72,11.83,0.83,0.72,291.0,306.0,597.0,336.0,355.0,691.0,1459.0,1665.0,3124.0,4450674.9730872745,161916.0211457132,709.8522578859989,1179,1179,633,633,0.0,1.0,34,28,Pedagogía en Matemáticas y Computación,1296180.17,2.1099999999999994,21792196.39034987,1.4
Periodismo,Ciencias Sociales,Universidades,1,1033449.85,1183215.07,1312880.16,1436817.01,1512509.82,619513.93,752193.11,951234.33,1195984.66,1626340.09,790723.67,1012990.6,1375090.38,1808259.0999999999,2279027.35,0.61,0.68,0.75,0.71,0.63,0.7400000000000001,0.7799999999999999,0.81,0.81,0.75,0.7,0.79,9.37,11.43,0.87,0.82,771.0,615.0,1386.0,860.0,626.0,1486.0,3931.0,3619.0,7550.0,6137535.308531469,203532.76545454544,648.5247555622825,1727,1635,1462,1462,0.030909090909090886,1.0,31,24,Periodismo,1436817.01,2.0600000000000005,28957885.685924474,1.7
Programas de Formación Pedagógica,Educación,Universidades,1,1208865.18,1306701.18,1353377.57,1430797.3,1473718.8,698688.52,882785.6,1096108.35,1414088.77,1783090.49,767346.95,1052640.84,1315985.2,1608842.7299999997,2059799.4100000001,0.79,0.81,0.85,0.8300000000000001,0.85,0.84,0.8300000000000001,0.89,0.87,0.86,0.84,0.87,,,,,183.0,170.0,353.0,19.0,5.0,24.0,521.0,411.0,932.0,4061832.230463576,121887.94701986756,,797,677,24,24,0.29271523178807946,1.0,24,9,Programas de Formación Pedagógica,1430797.3,,,
Psicología,Ciencias Sociales,Universidades,1,998896.29,1113650.88,1203197.03,1303330.58,1395488.46,582563.97,692846.19,880597.51,1141263.75,1504984.05,754017.38,983535.18,1220000.68,1568857.0,2066010.37,0.51,0.58,0.66,0.63,0.56,0.73,0.76,0.8,0.78,0.77,0.62,0.78,10.08,11.5,0.87,0.82,4926.0,1849.0,6775.0,8138.0,3421.0,11559.0,40283.0,16264.0,56549.0,5916854.674244004,200552.65124656365,644.7903223395535,13143,12673,11275,10983,0.04808038676651816,1.0,140,50,Psicología,1303330.58,1.42,30021500.209436346,1.9
Psicopedagogía,Educación,Institutos Profesionales / Universidades,2,834398.9625142496,900827.1495186829,941937.0830145661,979190.5872324256,1015340.5236162128,574825.2766244458,647649.299841672,783934.5677200761,953365.0890563647,1168529.2448765042,620984.6640215326,785927.0103166562,1007848.7222799239,1194107.2656618112,1476569.5585877136,0.45557314756174794,0.4049081697276757,0.5891513616212792,0.58,0.6108486383787207,0.6208486383787206,0.5515136162127929,0.6216972767574414,0.6542431918936035,0.6842431918936036,0.59,0.6533945535148828,8.04830272324256,9.572685243825205,0.7208486383787206,0.5850918302723241,1500.0,79.0,1579.0,2357.0,249.0,2606.0,10018.0,788.0,10806.0,2358328.0704767546,184997.35958937914,,3847,1628,2454,1686,0.37330964366794983,1.0,102,12,Psicopedagogía,979190.5872324256,1.5243825205826447,9675266.475548098,0.8
Publicidad,Ciencias Sociales,Institutos Profesionales / Universidades,2,876315.4471119134,1052861.010192539,1180492.1751263537,1330779.0750782192,1457596.9477858003,578839.9026113116,659379.6185559566,774567.8136341757,924048.2692178099,1172427.6287003611,730371.617713598,950880.9565102287,1226929.0841034898,1684666.4234777375,2206888.4407220217,0.5013116726835138,0.6592178098676293,0.715655836341757,0.6772803850782191,0.5974368231046931,0.7037184115523465,0.7175932611311673,0.785655836341757,0.7556558363417569,0.7534055354993984,0.6654993983152827,0.7595306859205776,8.214873646209385,9.575499398315284,0.8456558363417569,0.7834055354993983,473.0,358.0,831.0,886.0,400.0,1286.0,3118.0,1694.0,4812.0,5471874.698046181,152425.753330373,622.7415175097277,1603,1325,1244,1145,0.05062166962699821,1.0,21,14,Publicidad,1330779.0750782192,1.3606257521058982,22627805.37950013,1.4
Química y Farmacia,Salud,Universidades,1,2011053.46,2193168.58,2273157.93,2368256.33,2463864.51,1306484.48,1656171.0,2010766.52,2332289.56,2690121.55,1588981.57,1991721.14,2351271.38,2795829.83,3270968.42,0.97,1.0,0.99,0.99,0.98,0.96,0.98,0.99,0.99,0.98,0.98,0.98,10.76,14.25,0.88,0.83,622.0,426.0,1048.0,1811.0,1135.0,2946.0,7150.0,4692.0,11842.0,6028232.852654388,175916.6045503792,752.9179902491874,3219,3219,2434,2434,0.0,1.0,36,28,Química y Farmacia,2368256.33,3.49,32607809.35183099,1.1
"Química, Licenciado en Química",Ciencias Básicas,Universidades,1,1052323.17,1232128.79,1427856.92,1545659.3400000003,1488644.05,595596.82,803992.03,963526.5799999998,1212954.86,1745044.73,547413.92,982373.8,1378155.1599999997,2046980.2800000003,2405001.21,,,,,,,,,,,0.6099999999999999,0.66,10.14,14.720000000000002,0.77,0.6400000000000001,53.0,62.0,115.0,121.0,106.0,227.0,450.0,510.0,960.0,5794806.019656019,155301.4742014742,758.648492706645,229,229,227,227,0.0,1.0,9,7,"Química, Licenciado en Química",1545659.3400000003,4.580000000000002,29534967.993857495,1.6
Realizador de Cine y Televisión,Arte y Arquitectura,Universidades,1,1110014.78,1250958.69,1143405.0,1160555.59,1064588.78,574528.03,673448.0800000001,845990.96,1159995.89,1776105.1600000001,675004.21,868909.21,1107159.02,1363524.86,1784641.21,0.42,0.35,0.45,0.55,0.43000000000000005,0.39,0.52,0.45,0.57,0.56,0.48,0.55,9.1,12.06,0.8899999999999999,0.8300000000000001,101.0,104.0,205.0,190.0,170.0,360.0,701.0,761.0,1462.0,7154278.744804655,191710.68329177058,688.8226315789473,409,409,360,360,0.0,1.0,8,7,Realizador de Cine y Televisión,1160555.59,2.960000000000001,32743678.972152952,2.4
Relaciones Públicas,Ciencias Sociales,Institutos Profesionales / Universidades,2,925315.4983428572,1054830.5330857143,1087965.4110285714,1241316.6122857146,1376091.7753142857,557621.4402285714,662938.5137142857,824980.3679428571,1050719.457257143,1793264.295542857,669876.4572571429,809448.8932571429,1086906.8898857145,1371919.307657143,1815520.2422285713,0.3777142857142858,0.5623999999999999,0.5774857142857143,0.4952,0.4752571428571429,0.5951428571428571,0.6727428571428572,0.6573714285714286,0.6425714285714286,0.6349714285714286,0.5151428571428571,0.6474857142857143,8.0,9.663142857142859,0.78,0.6624000000000001,135.0,40.0,175.0,141.0,41.0,182.0,647.0,202.0,849.0,3070775.075987842,85191.31306990882,,330,190,182,146,0.4741641337386018,1.0,11,3,Relaciones Públicas,1241316.6122857146,1.6631428571428586,12368291.617021276,0.8
Secretariado Bilingüe,Administración y Comercio,Centros de Formación Técnica,1,1031117.6300000001,1096161.37,1113420.14,1136314.13,1166457.52,662930.26,761868.78,1017025.23,1458945.52,1890400.3399999999,642466.95,822711.63,1000901.53,1522461.66,1979601.21,0.7,0.72,0.78,0.84,0.59,0.75,0.75,0.81,0.67,0.68,0.75,0.74,6.0,7.24,0.64,,35.0,2.0,37.0,123.0,15.0,138.0,271.0,27.0,298.0,1708494.9561403508,181500.0,,185,100,116,43,0.5745614035087719,1.0,3,1,Secretariado Bilingüe,1136314.13,1.2400000000000002,5306984.868421053,0.4
