ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
233,Administración y Comercio,Universidades,Técnico en Comercio Exterior,1018824.36,1046077.82,1204036.82,1239707.6,1379175.39,626661.3,758779.74,883814.64,1084581.23,1409633.68,633018.73,725588.91,1063961.52,1407873.94,2467166.56,,,,,,0.6,0.72,,,,,,,,,,,14.0,9.0,23.0,,,54.0,17.0,71.0,113.0,45.0,158.0,0.66,,0.39,0.49,0.01,0.11
234,Tecnología,Universidades,Técnico en Computación e Informática,1026888.0,1137238.21,1353012.61,1530976.87,1559337.58,549916.2,661482.18,824006.9,1145992.78,1388346.15,781104.5,995890.42,1539281.75,2155284.73,2898012.91,1424292.17,1254167.74,1436377.49,1689459.01,1400954.4,0.51,0.65,0.62,0.64,0.61,0.46,0.49,0.65,0.76,0.76,0.73,0.55,22.0,147.0,169.0,4.49,6.21,66.0,398.0,464.0,133.0,868.0,1001.0,0.71,,0.39,0.55,0.03,0.03
235,Tecnología,Universidades,Técnico en Construcción y Obras Civiles,1007195.55,981459.0,1065488.48,1119072.52,1243545.62,554760.14,665972.88,845286.73,1241654.54,1757174.33,591691.61,798688.45,1114978.95,1489769.72,2045680.43,1071919.08,1177687.94,1171575.9,1136334.95,1025369.79,0.54,0.55,0.49,0.45,0.56,0.5,0.56,0.54,0.66,0.49,0.61,0.55,62.0,302.0,364.0,4.49,6.01,47.0,309.0,356.0,144.0,747.0,891.0,0.67,,0.46,0.43,0.02,0.08
236,Educación,Universidades,"Técnico en Deporte, Recreación y Preparación Física",760201.55,791577.24,840927.12,845499.09,909422.26,520747.47,580280.07,653207.29,789414.74,1135776.34,564380.87,637170.68,778300.31,1070696.69,1435079.22,731862.02,809113.37,858207.59,873427.83,782298.15,0.32,0.4,0.28,0.31,0.36,0.31,0.3,0.27,0.4,0.4,0.42,0.39,41.0,151.0,192.0,4.86,6.23,79.0,203.0,282.0,199.0,549.0,748.0,0.71,,0.44,0.51,0.02,0.04
237,Tecnología,Universidades,Técnico en Electricidad y Electricidad Industrial,1275912.73,1322879.23,1427658.99,1678711.56,1872410.36,640026.21,774293.86,1052415.03,1749722.07,2438426.95,856853.38,1089747.83,1474970.62,2097916.03,3132660.38,1703598.03,1655803.63,1516110.84,1598856.8,1987868.77,0.75,0.81,0.68,0.84,0.71,0.79,0.74,0.7,0.86,0.83,0.81,0.8,11.0,273.0,284.0,4.3,5.77,28.0,345.0,373.0,70.0,830.0,900.0,0.67,,0.42,0.47,0.01,0.1
238,Tecnología,Universidades,Técnico en Electrónica y Electrónica Industrial,1015004.95,1145472.81,1281164.0,1433437.78,1668405.31,549050.48,641686.61,914609.92,1234945.28,1911558.37,702879.68,1022966.07,1465397.29,1893482.17,3283524.59,,,,,,0.66,0.85,0.74,0.68,0.61,0.73,0.61,0.68,0.82,0.94,0.96,0.73,1.0,37.0,38.0,4.14,7.29,10.0,63.0,73.0,16.0,166.0,182.0,0.51,,0.25,0.58,0.05,0.12
239,Salud,Universidades,Técnico en Enfermería,857605.32,897280.93,902421.44,902882.66,912647.23,553767.04,636251.95,792043.54,952006.02,1168709.75,627144.93,721529.89,892792.78,1041491.72,1187092.68,830834.35,899231.28,924638.4,859359.47,926450.36,0.63,0.7,0.62,0.75,0.7,0.64,0.56,0.74,0.81,0.8,0.69,0.69,636.0,145.0,781.0,4.95,5.92,879.0,193.0,1072.0,2313.0,497.0,2810.0,0.69,,0.51,0.45,0.01,0.03
240,Tecnología,Universidades,"Técnico en Instrumentación, Automatización y Control Industrial",1422718.4,1486492.27,1534572.97,1522831.88,1696209.37,719476.42,858501.33,1129018.8,1559361.92,2206871.15,717085.04,941909.27,1326020.71,2127619.86,3097801.16,1408371.41,1767906.81,1320854.78,1621086.31,1609087.64,0.69,0.75,0.67,0.68,0.66,0.73,0.65,0.68,0.81,0.83,0.67,0.76,18.0,110.0,128.0,4.25,6.74,39.0,176.0,215.0,63.0,378.0,441.0,0.66,,0.46,0.48,0.01,0.05
241,Administración y Comercio,Universidades,Técnico en Logística,893642.53,875265.91,945270.14,1024595.95,1165585.11,538335.81,639317.78,751640.46,946205.15,1584678.58,587137.48,662928.5,867821.77,1164475.5,1935531.13,1354804.18,1062497.45,1137327.88,966057.49,958279.98,0.52,0.59,0.46,0.45,0.54,0.5,0.52,0.69,0.55,0.57,0.61,0.56,87.0,79.0,166.0,4.06,4.84,157.0,217.0,374.0,273.0,352.0,625.0,0.78,,0.49,0.43,0.02,0.05
242,Tecnología,Universidades,Técnico en Mantenimiento Industrial,1524768.96,1575225.9,2043117.96,1907999.29,2171363.92,642921.22,776334.85,1152448.77,1639854.02,3041802.38,969417.26,1210866.23,1877042.07,3080228.99,4274820.26,2051656.92,1806768.69,1938449.61,2009283.93,1706924.33,0.8,0.9,0.82,0.85,0.86,0.77,0.77,0.79,0.87,0.91,0.96,0.84,13.0,179.0,192.0,4.17,6.8,48.0,228.0,276.0,90.0,536.0,626.0,0.66,,0.25,0.55,0.06,0.14
243,Tecnología,Universidades,Técnico en Mecánica Automotriz,970557.99,1007852.47,1186039.11,1302223.78,1379239.29,594800.16,751401.24,910079.44,1157898.78,1419521.05,580277.78,808169.56,1175485.75,1742334.08,2632228.52,,,,,,0.54,0.69,0.53,0.47,0.55,0.5,0.57,0.66,0.64,0.79,0.61,0.7,2.0,74.0,76.0,4.05,6.52,7.0,154.0,161.0,15.0,319.0,334.0,0.66,,0.18,0.65,0.05,0.12
244,Tecnología,Universidades,Técnico en Mecánica Industrial,1620999.54,1657622.03,1817083.45,1974698.19,2040318.36,781179.06,1025219.81,1608802.03,2639617.03,3896022.86,793694.17,1034588.7,1797744.53,2483748.34,4495916.61,2114007.96,2100335.15,1714320.41,1979965.67,2194235.98,0.77,0.83,0.74,0.81,0.81,0.69,0.82,0.75,0.84,0.88,0.78,0.79,14.0,143.0,157.0,4.18,5.88,22.0,285.0,307.0,48.0,543.0,591.0,0.58,,0.5,0.4,0.01,0.1
245,Tecnología,Universidades,Técnico en Metalurgia,1728941.76,1902123.77,2089290.27,1793507.47,2023459.79,695113.48,1003502.55,1219469.49,2006072.04,3383454.98,842156.91,1085076.99,1634654.45,3523237.21,5823613.36,2754863.43,2799899.05,1582720.87,1794636.34,2344492.51,0.77,0.82,0.61,0.67,0.77,0.8,0.71,0.65,0.84,0.76,0.82,0.86,29.0,47.0,76.0,4.13,6.0,62.0,74.0,136.0,121.0,154.0,275.0,0.77,,0.69,0.3,0.0,0.0
246,Tecnología,Universidades,Técnico en Minería,1458222.39,1628333.6,1715876.02,1987119.23,2130266.77,613526.99,736837.23,1041028.55,1718159.81,3222246.76,770562.07,1082095.65,1429847.3,2501615.03,4362403.2,1977192.8,1934972.4,2076107.15,1824844.51,1993838.81,0.69,0.72,0.67,0.67,0.69,0.65,0.72,0.71,0.71,0.76,0.7,0.69,51.0,145.0,196.0,4.39,6.9,115.0,200.0,315.0,223.0,415.0,638.0,0.72,,0.46,0.45,0.03,0.06
247,Ciencias Sociales,Universidades,Técnico en Prevención y Rehabilitación,1074217.53,1048961.9,958996.51,951145.06,1179917.76,522882.53,600195.56,735019.12,1150416.44,2003099.14,636120.51,678316.84,884546.69,1198995.98,1628361.77,1037587.47,1345176.86,989807.85,954390.32,850743.57,0.63,0.56,0.64,0.67,0.56,0.68,0.68,0.72,0.64,0.52,0.58,0.6,28.0,33.0,61.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
248,Ciencias Básicas,Universidades,Técnico en Química (Análisis e Industrial),881446.45,1026450.24,1068353.64,1128036.87,1250002.16,611454.0,697108.31,829113.77,1006863.95,1099020.58,741178.21,924418.52,1176095.71,1426183.2,1722796.36,1136411.1,1130223.88,1163663.62,1102705.89,1105071.12,0.73,0.79,0.62,0.69,0.84,0.64,0.7,0.75,0.86,0.83,0.84,0.73,29.0,20.0,49.0,5.15,8.12,38.0,47.0,85.0,92.0,96.0,188.0,0.71,,0.33,0.58,0.03,0.05
249,Salud,Universidades,Tecnología Médica,1226007.28,1456786.37,1634698.4,1750943.4,1836410.79,583051.64,714570.14,968084.53,1292703.28,1661451.28,982751.23,1360064.94,1720266.12,2102914.62,2577122.7,1752020.02,1967447.02,1798008.93,1709736.69,1732891.78,0.71,0.85,0.77,0.95,0.88,0.73,0.57,0.89,0.96,0.94,0.88,0.8,1352.0,858.0,2210.0,10.05,12.74,2194.0,1189.0,3383.0,10413.0,6009.0,16422.0,0.86,,0.27,0.64,0.07,0.01
250,Salud,Universidades,Terapia Ocupacional,878859.84,1030199.98,1150895.59,1263706.54,1310769.22,552693.18,635265.61,782478.38,1006488.55,1279330.89,701884.64,959273.78,1283239.67,1575868.96,1933735.3,1252773.69,1344993.94,1289474.72,1255937.19,1210672.03,0.5,0.72,0.37,0.62,0.57,0.5,0.43,0.67,0.78,0.76,0.74,0.69,1840.0,281.0,2121.0,10.0,11.47,2362.0,411.0,2773.0,10940.0,1872.0,12812.0,0.84,,0.29,0.6,0.09,0.02
251,Ciencias Sociales,Universidades,Trabajo Social,1019931.23,1092736.61,1150866.9,1206924.91,1268799.92,582623.31,700252.12,901860.77,1188981.84,1564483.59,725234.73,942060.98,1200360.05,1515168.54,1920028.61,1203284.5,1225441.76,1194052.93,1224876.9,1203413.74,0.67,0.78,0.61,0.64,0.69,0.67,0.64,0.74,0.78,0.8,0.78,0.77,2641.0,521.0,3162.0,9.79,11.3,1710.0,456.0,2167.0,10156.0,2547.0,12704.0,0.82,,0.37,0.57,0.03,0.03
252,Humanidades,Universidades,Traducción e Interpretación,803174.11,858313.63,902136.39,981267.92,985231.57,555966.63,607152.94,722799.93,965602.73,1331790.68,594494.7,690303.82,872548.65,1103698.8,1494917.42,1053125.45,926092.85,937318.63,986552.31,1033382.97,0.42,0.51,0.3,0.33,0.45,0.41,0.39,0.37,0.43,0.49,0.54,0.48,192.0,91.0,283.0,9.04,12.41,418.0,170.0,588.0,2168.0,980.0,3148.0,0.82,,0.26,0.64,0.09,0.02
