ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
158,Ciencias Básicas,Universidades,Geología,1713545.58,2015164.29,2539495.83,2919331.04,3182406.33,632905.4,900437.75,1330298.65,1909101.27,3259217.57,1185781.14,1714756.21,2592260.9,3952188.07,5965510.86,3015160.56,2667848.92,2924204.99,3032759.91,2762677.3,0.69,0.82,0.62,0.64,0.76,0.66,0.67,0.75,0.77,0.83,0.84,0.8,222.0,316.0,538.0,10.65,16.17,310.0,506.0,816.0,1576.0,2456.0,4032.0,0.82,0.75,0.24,0.59,0.16,0.01
159,Tecnología,Universidades,Ingeniería Civil Ambiental,1348585.85,1625527.54,1816671.71,2119847.63,2290469.62,768423.76,994258.2,1349105.34,1629893.81,1896718.69,1232924.52,1827088.43,2187968.37,2694262.21,3341858.88,,,,,,0.84,0.9,,,,,,,,,,,78.0,62.0,140.0,11.39,14.99,144.0,115.0,259.0,662.0,520.0,1182.0,0.74,0.56,0.2,0.61,0.18,0.01
160,Tecnología,Universidades,Ingeniería Civil Bioquímica,1042160.34,1246114.97,1378307.49,1568814.71,1917913.2,597438.98,765098.66,924938.41,1169286.57,1434029.45,748155.89,1124404.49,1383270.77,1968086.15,2125524.32,,,,,,0.83,0.83,,,,,,,,,,,22.0,17.0,39.0,12.0,14.49,47.0,23.0,70.0,189.0,134.0,323.0,0.84,0.65,0.14,0.62,0.24,0.0
161,Tecnología,Universidades,Ingeniería Civil Eléctrica,1907850.4,2289295.92,2661877.88,2912848.8,3261044.05,841265.18,1255669.33,1643102.27,2159486.75,2973978.89,1396015.33,2019442.14,2870420.09,4038082.83,6017549.62,2739942.71,2895336.49,3039640.83,2934476.22,2764338.35,0.92,0.95,0.92,0.92,0.93,0.94,0.89,0.91,0.94,0.95,0.96,0.95,72.0,507.0,579.0,11.62,15.43,124.0,860.0,984.0,522.0,4386.0,4908.0,0.78,0.63,0.26,0.54,0.17,0.04
162,Tecnología,Universidades,Ingeniería Civil Electrónica,1680291.11,2161930.64,2413130.19,2647455.7,2790309.67,673936.2,917365.84,1259264.92,1763207.43,2144620.0,1024660.1,1713489.85,2247305.08,2746736.81,4634445.54,2412462.75,2490142.31,2825904.82,2069845.97,2954198.76,0.84,0.93,0.69,0.85,0.92,0.83,0.79,0.87,0.84,0.91,0.93,0.94,20.0,243.0,263.0,11.81,15.67,64.0,454.0,518.0,260.0,2189.0,2449.0,0.78,0.66,0.23,0.58,0.17,0.02
163,Tecnología,Universidades,Ingeniería Civil en Biomédica,1367867.49,1627914.8,1767432.16,1883450.81,1997817.38,851568.75,1075968.48,1329017.35,1599075.46,1816198.32,906736.1,1373090.85,1747392.02,2135977.84,2499422.3,2056751.49,2100638.89,2019249.64,1670110.47,1882141.38,0.94,0.91,0.78,0.94,0.96,0.97,0.91,0.92,0.97,0.94,0.92,0.88,55.0,42.0,97.0,12.0,13.86,214.0,166.0,380.0,534.0,536.0,1070.0,0.71,0.6,0.2,0.59,0.2,0.01
164,Tecnología,Universidades,Ingeniería Civil en Computación e Informática,1737657.19,2121327.96,2453084.04,2683432.45,2880940.73,787296.04,1075563.71,1464702.22,1951308.13,2622317.32,1294660.48,1911456.74,2601025.17,3625113.28,4680338.0,2305682.63,2492485.23,2778376.03,2685634.33,2592682.53,0.88,0.94,0.88,0.92,0.93,0.89,0.85,0.94,0.94,0.95,0.94,0.93,163.0,1374.0,1537.0,11.08,14.12,664.0,3559.0,4223.0,2381.0,15494.0,17875.0,0.84,0.74,0.25,0.57,0.16,0.02
165,Tecnología,Universidades,Ingeniería Civil en Minas,2274422.55,2599118.99,2803526.14,3432022.19,4230974.53,714172.4,1008888.02,1616794.14,2755216.02,4671038.79,1305668.09,1928656.75,2816808.24,4579345.13,7605400.75,4025123.27,4059829.97,3946384.59,3220612.65,3178733.17,0.82,0.9,0.68,0.76,0.83,0.82,0.81,0.85,0.89,0.91,0.89,0.89,165.0,515.0,680.0,11.14,15.71,571.0,1111.0,1682.0,1906.0,4463.0,6369.0,0.77,0.65,0.27,0.58,0.13,0.02
166,Tecnología,Universidades,Ingeniería Civil en Obras Civiles,1554958.75,1735752.68,1831857.78,2110461.65,2323638.47,696848.6,984267.26,1315191.48,1818082.82,2661973.27,988230.02,1571164.02,2066422.04,2690650.72,3240642.01,2099111.44,2302277.74,2273650.52,1958170.72,2089394.78,0.85,0.91,0.72,0.86,0.89,0.86,0.81,0.91,0.9,0.94,0.91,0.89,152.0,407.0,559.0,11.16,15.12,195.0,514.0,709.0,734.0,2230.0,2964.0,0.77,0.67,0.26,0.57,0.13,0.03
167,Tecnología,Universidades,Ingeniería Civil Industrial,2100771.45,2267041.23,2508602.98,2840993.38,3126885.36,794034.6,1147275.66,1660910.94,2557238.94,4201143.9,1205626.13,1737475.37,2466537.6,3428887.15,4921345.36,2841197.65,2958521.9,3027263.87,2698052.34,2774395.18,0.89,0.93,0.81,0.88,0.91,0.89,0.89,0.9,0.92,0.94,0.93,0.93,1897.0,4594.0,6491.0,11.12,14.07,2023.0,3611.0,5634.0,10564.0,24340.0,34904.0,0.85,0.76,0.22,0.56,0.19,0.03
